Text,User,Hashtags,Platform_Facebook,Platform_Instagram,Platform_Twitter,Country_encoded,Sentiment_encoded,Retweets_scaled,Likes_scaled,Year,Month,Day,Hour
Enjoying a beautiful day at the park!,User123,#Nature #Park,0,0,1,32,146,-0.9402783758472977,-0.9313103717739508,2023,1,15,12
Traffic was terrible this morning.,CommuterX,#Traffic #Morning,0,0,1,5,134,-2.129687774550292,-2.255125596898996,2023,1,15,8
Just finished an amazing workout! 💪,FitnessFan,#Fitness #Workout,0,1,0,32,146,-0.20833413049160884,-0.20092955791185693,2023,1,15,15
Excited about the upcoming weekend getaway!,AdventureX,#Travel #Adventure,1,0,0,31,146,-1.965000319345262,-2.0268815925670918,2023,1,15,18
Trying out a new recipe for dinner tonight.,ChefCook,#Cooking #Food,0,1,0,0,135,-1.379444923060711,-1.2965007787049978,2023,1,15,19
Feeling grateful for the little things in life.,GratitudeNow,#Gratitude #PositiveVibes,0,0,1,13,146,0.52361011486408,0.529451255950237,2023,1,16,9
Rainy days call for cozy blankets and hot cocoa.,RainyDays,#RainyDays #Cozy,1,0,0,5,146,-1.6722226212029865,-1.6616911856360448,2023,1,16,14
The new movie release is a must-watch!,MovieBuff,#MovieNight #MustWatch,0,1,0,32,146,-0.9402783758472977,-0.9313103717739508,2023,1,16,19
Political discussions heating up on the timeline.,DebateTalk,#Politics #Debate,0,0,1,32,134,1.255554360219769,1.2598320698123309,2023,1,17,8
Missing summer vibes and beach days.,BeachLover,#Summer #BeachDays,1,0,0,0,135,-0.5011118286338844,-0.5661199648429038,2023,1,17,12
Just published a new blog post. Check it out!,BloggerX,#Blogging #NewPost,0,1,0,32,146,0.0844435676506667,0.16426084901919003,2023,1,17,15
Feeling a bit under the weather today.,WellnessCheck,#SickDay #Health,0,0,1,5,134,-2.1113891684164,-2.0268815925670918,2023,1,18,10
Exploring the city's hidden gems.,UrbanExplorer,#CityExplore #HiddenGems,1,0,0,31,146,-1.379444923060711,-1.2965007787049978,2023,1,18,14
"New year, new fitness goals! 💪",FitJourney,#NewYear #FitnessGoals,0,1,0,32,146,0.9627766620774934,0.8946416628812839,2023,1,18,18
Technology is changing the way we live.,TechEnthusiast,#Tech #Innovation,0,0,1,13,135,-0.9402783758472977,-0.9313103717739508,2023,1,19,9
Reflecting on the past and looking ahead.,Reflections,#Reflection #Future,1,0,0,32,146,-0.20833413049160884,-0.20092955791185693,2023,1,19,13
Just adopted a cute furry friend! 🐾,PetAdopter,#PetAdoption #FurryFriend,0,1,0,5,146,-0.9402783758472977,-0.9313103717739508,2023,1,19,17
Late-night gaming session with friends.,GamerX,#Gaming #LateNight,0,0,1,31,146,-0.5011118286338844,-0.5661199648429038,2023,1,20,0
Attending a virtual conference on AI.,TechConference,#AI #TechConference,1,0,0,32,135,0.52361011486408,0.529451255950237,2023,1,20,11
Winter blues got me feeling low.,WinterBlues,#WinterBlues #Mood,0,1,0,32,134,-1.965000319345262,-2.0268815925670918,2023,1,20,15
Sipping coffee and enjoying a good book.,Bookworm,#Reading #CoffeeTime,0,0,1,13,146,0.0844435676506667,0.16426084901919003,2023,1,21,8
Exploring the world of virtual reality.,VRExplorer,#VR #VirtualReality,1,0,0,32,146,-0.9402783758472977,-0.9313103717739508,2023,1,21,13
Productive day ticking off my to-do list.,ProductivityPro,#Productivity #WorkFromHome,0,1,0,32,146,1.255554360219769,1.2598320698123309,2023,1,21,16
Just finished a challenging workout routine.,FitnessWarrior,#Fitness #ChallengeAccepted,0,0,1,31,146,-0.20833413049160884,-0.20092955791185693,2023,1,22,9
Celebrating a milestone at work! 🎉,CareerMilestone,#Career #Milestone,1,0,0,5,146,-1.379444923060711,-1.2965007787049978,2023,1,22,14
Sunday brunch with friends.,BrunchBuddy,#Brunch #Friends,0,1,0,31,146,-0.9402783758472977,-0.9313103717739508,2023,1,22,12
Learning a new language for personal growth.,LanguageLearner,#LanguageLearning #PersonalGrowth,1,0,0,13,146,0.52361011486408,0.529451255950237,2023,1,23,16
Quiet evening with a good book.,BookLover,#Reading #QuietTime,0,1,0,0,146,-0.9402783758472977,-0.9313103717739508,2023,1,23,19
Reflecting on the importance of mental health.,MentalHealthMatters,#MentalHealth #SelfCare,0,0,1,32,146,0.0844435676506667,0.16426084901919003,2023,1,24,11
New painting in progress! 🎨,ArtistInAction,#Art #PaintingInProgress,1,0,0,5,146,-1.379444923060711,-1.2965007787049978,2023,1,24,15
Weekend road trip to explore scenic views.,RoadTripper,#RoadTrip #ScenicViews,0,1,0,31,146,-0.5011118286338844,-0.5661199648429038,2023,1,24,17
Enjoying a cup of tea and watching the sunset.,SunsetWatcher,#TeaTime #Sunset,0,0,1,13,146,-0.9402783758472977,-0.9313103717739508,2023,1,25,18
Coding a new project with enthusiasm.,CodeEnthusiast,#Coding #Enthusiasm,1,0,0,32,146,1.255554360219769,1.2598320698123309,2023,1,25,13
Feeling inspired after attending a workshop.,WorkshopAttendee,#Inspiration #Workshop,0,1,0,32,146,0.52361011486408,0.529451255950237,2023,1,26,9
Winter sports day at the local park.,WinterSports,#WinterSports #Fun,0,0,1,5,146,-0.9402783758472977,-0.9313103717739508,2023,1,26,14
Quality time with family this weekend.,FamilyTime,#FamilyTime #Weekend,1,0,0,31,146,0.0844435676506667,0.16426084901919003,2023,1,26,17
Attending a live music concert tonight.,MusicLover,#Music #ConcertNight,0,1,0,32,146,-0.5011118286338844,-0.5661199648429038,2023,1,27,20
Practicing mindfulness with meditation.,MindfulMoments,#Mindfulness #Meditation,0,0,1,13,146,-0.9402783758472977,-0.9313103717739508,2023,1,27,12
Trying out a new dessert recipe.,DessertExplorer,#Dessert #Cooking,1,0,0,5,146,-1.379444923060711,-1.2965007787049978,2023,1,27,16
Excited about the upcoming gaming tournament.,GamingEnthusiast,#Gaming #Tournament,0,1,0,32,146,1.255554360219769,1.2598320698123309,2023,1,28,9
Planning a garden makeover for spring.,GardenPlanner,#Gardening #Spring,0,0,1,32,146,0.52361011486408,0.529451255950237,2023,1,28,14
Celebrating a friend's birthday tonight! 🎂,BirthdayBash,#Birthday #Celebration,1,0,0,31,146,-0.9402783758472977,-0.9313103717739508,2023,1,28,19
Feeling accomplished after a productive day.,ProductivityWin,#Accomplished #Success,0,1,0,13,146,0.0844435676506667,0.16426084901919003,2023,1,29,17
A cozy evening with a good movie.,MovieNight,#CozyNight #MovieTime,0,0,1,5,146,-0.5011118286338844,-0.5661199648429038,2023,1,29,20
Exploring local art galleries this weekend.,ArtExplorer,#Art #GalleryExplore,1,0,0,32,146,-0.9402783758472977,-0.9313103717739508,2023,1,30,11
New book release from my favorite author!,BookwormX,#BookRelease #FavoriteAuthor,0,1,0,31,146,-1.379444923060711,-1.2965007787049978,2023,1,30,15
Attending a virtual reality meetup.,VRMeetup,#VRMeetup #VirtualReality,0,0,1,13,146,0.9627766620774934,0.8946416628812839,2023,1,30,18
Reflecting on the beauty of nature.,NatureLover,#Nature #Reflection,1,0,0,0,146,-0.9402783758472977,-0.9313103717739508,2023,1,31,10
Cooking a special dinner for loved ones.,ChefAtHome,#Cooking #SpecialDinner,0,1,0,32,146,-0.20833413049160884,-0.20092955791185693,2023,1,31,19
Feeling optimistic about the week ahead.,OptimisticMindset,#Optimism #NewWeek,0,0,1,5,146,-0.9402783758472977,-0.9313103717739508,2023,1,31,16
Starting a new fitness challenge tomorrow! 💪,FitnessChallenge,#FitnessChallenge #NewBeginnings,1,0,0,31,146,0.0844435676506667,0.16426084901919003,2023,2,1,8
Sunday bike ride through scenic trails.,BikeExplorer,#BikeRide #ScenicTrails,0,1,0,32,146,-0.5011118286338844,-0.5661199648429038,2023,2,1,13
Can't believe the injustice happening in our society.,SocialJustice,#Injustice #Angry,0,0,1,5,10,-0.20833413049160884,-0.20092955791185693,2023,2,11,9
Feeling a sense of fear after watching a thriller movie.,ThrillerFan,#Fear #ThrillerMovie,0,1,0,32,79,-0.9402783758472977,-0.9313103717739508,2023,2,11,21
Heartbroken after hearing the news about a natural disaster.,EmpathyFirst,#Sadness #NaturalDisaster,1,0,0,13,164,0.52361011486408,0.529451255950237,2023,2,12,14
The state of the world's environment is just disgusting.,EcoAwareness,#Disgust #Environment,0,0,1,31,56,-0.5011118286338844,-0.5661199648429038,2023,2,12,18
Pure happiness: celebrating a loved one's achievement!,ProudFriend,#Happiness #Celebration,0,1,0,32,92,1.255554360219769,1.2598320698123309,2023,2,13,10
Laughter is the best medicine—enjoying a comedy show.,ComedyFan,#Joy #ComedyShow,1,0,0,5,116,0.0844435676506667,0.16426084901919003,2023,2,13,19
Sharing love and positive vibes with everyone! ❤️,LoveSpreader,#Love #SpreadLove,0,0,1,0,124,-0.9402783758472977,-0.9313103717739508,2023,2,14,8
An amusing incident brightened up my day!,AmusedSoul,#Amusement #FunTimes,0,1,0,31,9,-0.5011118286338844,-0.5661199648429038,2023,2,14,14
Enjoying a quiet evening with a book and some tea.,BookLoverAgain,#Enjoyment #BookTime,1,0,0,5,70,0.52361011486408,0.529451255950237,2023,2,14,19
Admiring the beauty of nature during a peaceful hike.,NatureAdmirer,#Admiration #Nature,0,0,1,32,2,-0.20833413049160884,-0.20092955791185693,2023,2,15,11
Sending affectionate vibes to all my followers!,AffectionSender,#Affection #PositiveVibes,0,1,0,32,6,-0.9402783758472977,-0.9313103717739508,2023,2,15,16
Experiencing awe at the breathtaking sunset.,AweStruck,#Awe #Breathtaking,1,0,0,0,17,0.0844435676506667,0.16426084901919003,2023,2,15,20
Disappointed with the service at a local restaurant.,FoodieGoneWrong,#Disappointed #BadService,0,0,1,13,54,-0.5011118286338844,-0.5661199648429038,2023,2,16,9
A surprise gift from a friend made my day!,HappySurprise,#Surprise #Gift,0,1,0,32,174,0.52361011486408,0.529451255950237,2023,2,16,14
Finding acceptance in the midst of life's challenges.,AcceptanceSeeker,#Acceptance #Challenges,1,0,0,5,0,-0.9402783758472977,-0.9313103717739508,2023,2,16,18
Overflowing with adoration for my adorable pet! 🐾,PetAdorer,#Adoration #PetLove,0,0,1,31,3,0.0844435676506667,0.16426084901919003,2023,2,17,10
Anticipating a thrilling adventure in the coming weeks.,AdventureAwaits,#Anticipation #Adventure,0,1,0,32,11,-0.20833413049160884,-0.20092955791185693,2023,2,17,7
A bitter experience turned into a valuable lesson.,LearnFromBitter,#BitterLesson #Growth,1,0,0,32,20,-0.5011118286338844,-0.5661199648429038,2023,2,17,15
Finding calmness in the midst of a busy day.,ZenMaster,#Calmness #PeacefulMind,0,0,1,13,26,-0.9402783758472977,-0.9313103717739508,2023,2,18,9
Confusion clouds my mind as I navigate through decisions.,ConfusedMind,#Confusion #DecisionMaking,0,1,0,31,37,0.52361011486408,0.529451255950237,2023,2,18,14
Excitement building up for the upcoming vacation!,VacationDreamer,#Excitement #TravelPlans,1,0,0,5,76,0.0844435676506667,0.16426084901919003,2023,2,18,18
Kindness witnessed today restored my faith in humanity.,KindnessPrevails,#Kindness #Humanity,0,0,1,32,119,-0.20833413049160884,-0.20092955791185693,2023,2,19,11
Pride in achieving a personal milestone.,PersonalAchiever,#Pride #Milestone,0,1,0,0,149,1.255554360219769,1.2598320698123309,2023,2,19,16
A moment of shame for not standing up against injustice.,ReflectiveSelf,#Shame #Injustice,1,0,0,13,167,-0.9402783758472977,-0.9313103717739508,2023,2,19,19
Fuming with anger after a heated argument.,AngryDebater,#Anger #Argument,0,0,1,5,10,-0.20833413049160884,-0.20092955791185693,2023,2,20,9
The fear of the unknown is keeping me up at night.,FearfulDreamer,#Fear #Unknown,0,1,0,32,79,-0.9402783758472977,-0.9313103717739508,2023,2,20,21
Heartfelt sadness after bidding farewell to a dear friend.,FarewellHeart,#Sadness #Farewell,1,0,0,13,164,0.52361011486408,0.529451255950237,2023,2,21,14
The state of corruption in our society is utterly disgusting.,AntiCorruption,#Disgust #Corruption,0,0,1,31,56,-0.5011118286338844,-0.5661199648429038,2023,2,21,18
Overflowing happiness: welcoming a new family member!,NewParentJoy,#Happiness #NewFamilyMember,0,1,0,31,92,1.255554360219769,1.2598320698123309,2023,2,22,10
Laughter is the key to joy—attending a stand-up comedy show.,StandUpFan,#Joy #StandUpComedy,1,0,0,5,116,0.0844435676506667,0.16426084901919003,2023,2,22,19
Sending love to all my followers on this beautiful day! ❤️,LoveSender,#Love #SpreadLove,0,0,1,0,124,-0.9402783758472977,-0.9313103717739508,2023,2,23,8
Amused by the antics of my pet—it's pure amusement!,PetAmuser,#Amusement #PetAntics,0,1,0,31,9,-0.5011118286338844,-0.5661199648429038,2023,2,23,14
Enjoying every moment of this trip—pure enjoyment!,TravelExplorer,#Enjoyment #Travel,1,0,0,32,70,0.52361011486408,0.529451255950237,2023,2,23,19
Admiring the dedication of volunteers at a local charity.,CharityAdmirer,#Admiration #Volunteers,0,0,1,32,2,-0.20833413049160884,-0.20092955791185693,2023,2,24,11
